日期,收盘,开盘,高,低,交易量,涨跌幅
2022年1月8日,41914.00 ,41551.30 ,42226.80 ,41551.30 ,53.33K,0.88%
2022年1月7日,41546.70 ,43097.90 ,43127.70 ,40810.00 ,88.36K,-3.60%
2022年1月6日,43097.50 ,43431.60 ,43772.30 ,42481.10 ,63.08K,-0.76%
2022年1月5日,43425.90 ,45833.10 ,47019.40 ,42535.10 ,83.74K,-5.26%
2022年1月4日,45837.30 ,46435.70 ,47505.40 ,45602.10 ,55.59K,-1.28%
2022年1月3日,46430.20 ,47293.90 ,47556.00 ,45704.00 ,41.06K,-1.86%
2022年1月2日,47311.80 ,47738.70 ,47944.90 ,46718.20 ,27.02K,-0.89%
2022年1月1日,47738.00 ,46217.50 ,47917.60 ,46217.50 ,31.24K,3.29%
2021年12月31日,46219.50 ,47123.30 ,48553.90 ,45693.60 ,58.18K,-1.92%
2021年12月30日,47123.30 ,46470.70 ,47901.40 ,46003.00 ,60.96K,1.42%
2021年12月29日,46461.70 ,47548.40 ,48121.70 ,46127.80 ,63.92K,-2.28%
2021年12月28日,47545.20 ,50703.40 ,50703.80 ,47345.70 ,74.39K,-6.18%
2021年12月27日,50678.20 ,50783.60 ,52016.30 ,50459.00 ,43.90K,-0.20%
2021年12月26日,50779.90 ,50404.00 ,51247.00 ,49527.00 ,32.34K,0.74%
2021年12月25日,50406.40 ,50789.60 ,51140.20 ,50196.80 ,26.67K,-0.75%
2021年12月24日,50786.10 ,50807.40 ,51795.30 ,50428.40 ,45.97K,-0.03%
2021年12月23日,50801.00 ,48599.60 ,51355.60 ,48053.40 ,56.24K,4.53%
2021年12月22日,48599.70 ,48898.70 ,49540.30 ,48449.70 ,40.89K,-0.62%
2021年12月21日,48902.00 ,46900.10 ,49306.10 ,46654.00 ,57.88K,4.28%
2021年12月20日,46895.20 ,46703.40 ,47488.90 ,45577.30 ,57.53K,0.41%
2021年12月19日,46704.50 ,46855.70 ,48270.20 ,46438.40 ,44.05K,-0.32%
2021年12月18日,46856.20 ,46171.80 ,47330.20 ,45513.40 ,36.93K,1.48%
2021年12月17日,46172.20 ,47630.40 ,47997.20 ,45523.80 ,67.50K,-3.06%
2021年12月16日,47628.20 ,48876.60 ,49387.80 ,47543.90 ,48.20K,-2.54%
2021年12月15日,48871.50 ,48366.20 ,49477.90 ,46572.60 ,80.28K,1.04%
2021年12月14日,48366.50 ,46709.80 ,48635.00 ,46338.30 ,62.54K,3.56%
2021年12月13日,46703.60 ,50075.90 ,50196.10 ,45848.20 ,80.37K,-6.74%
2021年12月12日,50081.00 ,49332.50 ,50779.20 ,48670.50 ,40.30K,1.55%
2021年12月11日,49314.50 ,47138.40 ,49487.00 ,46834.00 ,45.23K,4.62%
2021年12月10日,47137.20 ,47591.70 ,49974.80 ,47007.10 ,68.06K,-0.97%
2021年12月9日,47596.60 ,50477.60 ,50790.20 ,47341.90 ,58.69K,-5.70%
2021年12月8日,50473.90 ,50596.60 ,51204.70 ,48700.70 ,55.59K,-0.24%
2021年12月7日,50595.20 ,50547.40 ,51918.60 ,50070.90 ,56.29K,0.07%
2021年12月6日,50562.10 ,49412.10 ,50913.30 ,47237.90 ,89.68K,2.34%
2021年12月5日,49405.50 ,49196.40 ,49689.30 ,47797.80 ,72.03K,0.43%
