日期,收盘,开盘,高,低,涨跌幅
2022-02-21,2.506,2.5,2.52,2.497,0.00%
2022-02-18,2.505,2.511,2.511,2.479,0.93%
2022-02-17,2.482,2.526,2.526,2.478,-0.72%
2022-02-16,2.5,2.559,2.559,2.498,-0.48%
2022-02-15,2.512,2.58,2.58,2.501,-0.32%
2022-02-14,2.52,2.6,2.6,2.489,0.56%
2022-02-11,2.506,2.498,2.52,2.475,2.62%
2022-02-10,2.442,2.441,2.442,2.421,0.37%
2022-02-09,2.433,2.438,2.438,2.412,0.95%
2022-02-08,2.41,2.428,2.428,2.398,0.25%
2022-02-07,2.404,2.487,2.487,2.403,0.86%
2022-01-30,2.384,2.396,2.396,2.382,-0.27%
2022-01-29,2.39,2.385,2.395,2.382,-1.16%
2022-01-28,2.418,2.478,2.478,2.418,-0.90%
2022-01-27,2.44,2.45,2.451,2.423,0.62%
2022-01-26,2.425,2.425,2.43,2.392,1.42%
2022-01-25,2.391,2.393,2.398,2.36,1.44%
2022-01-24,2.357,2.46,2.46,2.353,-1.71%
2022-01-21,2.398,2.469,2.469,2.393,-1.64%
2022-01-20,2.438,2.469,2.469,2.43,-0.16%
2022-01-19,2.442,2.49,2.49,2.426,-1.45%
2022-01-18,2.478,2.585,2.585,2.475,-2.79%
2022-01-17,2.549,2.64,2.64,2.546,-1.01%
2022-01-14,2.575,2.588,2.588,2.562,0.27%
2022-01-13,2.568,2.598,2.598,2.56,0.00%
2022-01-12,2.568,2.595,2.595,2.563,-0.27%
2022-01-11,2.575,2.625,2.625,2.57,-0.62%
2022-01-10,2.591,2.68,2.68,2.585,-1.26%
2022-01-07,2.624,2.648,2.648,2.618,0.08%
2022-01-06,2.622,2.63,2.63,2.604,1.04%
2022-01-05,2.595,2.61,2.61,2.58,0.46%
2022-01-04,2.583,2.64,2.64,2.575,-0.19%
2021-12-31,2.588,2.613,2.613,2.574,-0.35%
2021-12-30,2.597,2.628,2.628,2.58,-0.42%
2021-12-29,2.608,2.652,2.652,2.605,-0.99%
2021-12-28,2.634,2.67,2.67,2.631,-0.15%
2021-12-27,2.638,2.705,2.705,2.63,-0.83%
2021-12-24,2.66,2.678,2.678,2.647,0.34%
2021-12-23,2.651,2.712,2.712,2.647,-1.27%
2021-12-22,2.685,2.714,2.714,2.683,-0.70%
2021-12-21,2.704,2.723,2.723,2.701,0.11%
2021-12-20,2.701,2.745,2.745,2.694,0.63%
2021-12-17,2.684,2.73,2.73,2.684,-0.56%
2021-12-16,2.699,2.7,2.7,2.68,0.78%
2021-12-15,2.678,2.715,2.715,2.669,-0.07%
2021-12-14,2.68,2.74,2.74,2.677,-0.96%
2021-12-13,2.706,2.77,2.77,2.697,0.22%
2021-12-10,2.7,2.733,2.733,2.697,-0.52%
2021-12-09,2.714,2.775,2.775,2.709,-0.33%
2021-12-08,2.723,2.74,2.74,2.711,0.22%
2021-12-07,2.717,2.699,2.721,2.68,1.30%
2021-12-06,2.682,2.8,2.8,2.677,-2.12%
2021-12-03,2.74,2.745,2.745,2.721,0.66%
2021-12-02,2.722,2.725,2.725,2.693,1.08%
2021-12-01,2.693,2.701,2.701,2.68,0.49%
2021-11-30,2.68,2.689,2.689,2.674,0.37%
2021-11-29,2.67,2.71,2.71,2.665,0.19%
2021-11-26,2.665,2.718,2.718,2.661,-1.33%
