日期,收盘,开盘,高,低,涨跌幅
2012年10月10日,1763.2,1762.4,1764.2,1758.1,0.0001
2012年10月11日,1768.8,1761.6,1771.0,1761.6,0.0032
2012年10月12日,1758.0,1769.5,1769.5,1753.6,-0.0060999999999999995
2012年10月15日,1736.0,1750.0,1750.0,1729.9,-0.0125
2012年10月16日,1744.7,1736.7,1744.4,1736.6,0.005
2012年10月17日,1751.5,1749.4,1750.7,1746.0,0.0039000000000000003
2012年10月18日,1743.3,1749.1,1749.1,1740.5,-0.004699999999999999
2012年10月19日,1722.8,1741.1,1741.1,1721.0,-0.0118
2012年10月1日,1780.5,1766.0,1791.0,1763.3,0.0053
2012年10月22日,1725.1,1715.0,1728.3,1715.0,0.0013
2012年10月23日,1708.3,1726.6,1728.5,1708.4,-0.0097
2012年10月24日,1700.5,1708.4,1708.5,1698.6,-0.0046
2012年10月25日,1712.0,1711.7,1716.7,1711.7,0.0068000000000000005
2012年10月26日,1710.9,1706.1,1716.2,1706.1,-0.0006
2012年10月29日,1707.7,1712.0,1712.0,1707.0,-0.0019
2012年10月2日,1772.7,1777.9,1779.3,1773.1,-0.0044
2012年10月30日,1710.5,1709.1,1714.4,1709.0,0.0016
2012年10月31日,1717.5,1714.4,1724.5,1714.4,0.0040999999999999995
2012年10月3日,1777.3,1772.2,1779.9,1771.9,0.0026
2012年10月4日,1794.1,1783.5,1794.8,1783.5,0.0095
2012年10月5日,1778.6,1792.2,1792.2,1776.6,-0.0086
2012年10月8日,1773.5,1778.0,1778.0,1766.8,-0.0029
2012年10月9日,1763.0,1776.7,1776.7,1762.3,-0.0059
2012年11月12日,1730.3,1733.2,1734.9,1733.2,0.0
2012年11月13日,1724.2,1721.6,1728.2,1718.5,-0.0034999999999999996
2012年11月14日,1729.5,1722.0,1727.7,1722.0,0.0031
2012年11月15日,1713.3,1724.9,1724.9,1706.3,-0.009399999999999999
2012年11月16日,1714.3,1710.0,1713.8,1706.9,0.0006
2012年11月19日,1734.0,1721.8,1731.0,1721.8,0.0115
2012年11月1日,1714.1,1722.3,1725.1,1714.9,-0.002
2012年11月20日,1723.2,1730.6,1731.1,1722.5,-0.0062
2012年11月21日,1727.9,1725.8,1725.8,1725.8,0.0027
2012年11月23日,1751.3,1735.0,1735.0,1735.0,0.013500000000000002
2012年11月26日,1749.5,1750.3,1750.5,1749.4,-0.001
2012年11月27日,1742.2,1746.4,1746.4,1745.2,-0.0042
2012年11月28日,1716.5,1739.8,1739.8,1716.3,-0.0148
2012年11月29日,1727.2,1719.6,1729.0,1717.7,0.0062
2012年11月2日,1674.1,1711.3,1711.3,1674.3,-0.0233
2012年11月30日,1710.9,1725.2,1731.2,1708.4,-0.009399999999999999
2012年11月5日,1682.2,1682.8,1683.1,1674.3,0.0048
2012年11月6日,1714.1,1690.1,1718.0,1690.1,0.019
2012年11月7日,1713.2,1707.7,1726.5,1703.7,-0.0005
2012年11月8日,1725.4,1715.9,1729.6,1714.2,0.0070999999999999995
2012年11月9日,1730.3,1733.7,1734.1,1727.6,0.0028000000000000004
2012年12月10日,1713.0,1704.2,1717.0,1704.2,0.0053
2012年12月11日,1708.2,1710.0,1714.1,1705.9,-0.0028000000000000004
2012年12月12日,1716.6,1710.1,1722.3,1708.0,0.0049
2012年12月13日,1695.6,1707.2,1707.2,1689.9,-0.012199999999999999
2012年12月14日,1695.8,1698.3,1699.2,1694.4,0.0001
2012年12月17日,1697.0,1690.5,1698.5,1689.5,0.0007000000000000001
2012年12月18日,1669.5,1701.4,1702.8,1661.0,-0.016200000000000003
2012年12月19日,1666.5,1675.3,1676.0,1664.6,-0.0018
2012年12月20日,1644.9,1667.9,1671.0,1637.6,-0.013000000000000001
2012年12月21日,1659.1,1648.0,1656.7,1635.8,0.0086
2012年12月24日,1658.6,1657.7,1663.8,1654.9,-0.0003
2012年12月26日,1659.8,1654.5,1666.7,1654.5,0.0007000000000000001
2012年12月27日,1662.6,1656.2,1662.1,1656.2,0.0017000000000000001
2012年12月28日,1654.9,1664.0,1664.0,1653.7,-0.0046
2012年12月31日,1674.8,1655.4,1677.1,1655.4,0.012
2012年12月3日,1719.6,1714.9,1721.9,1714.5,0.0051
2012年12月4日,1694.4,1716.3,1716.8,1691.6,-0.0147
2012年12月5日,1692.4,1697.1,1706.0,1685.0,-0.0012
2012年12月6日,1700.3,1694.3,1702.1,1686.4,0.004699999999999999
2012年12月7日,1704.0,1701.2,1704.5,1684.0,0.0022
2012年2月14日,1715.9,1720.0,1724.9,1715.0,-0.0040999999999999995
2012年2月15日,1726.3,1723.6,1737.0,1723.6,0.0060999999999999995
2012年2月16日,1726.8,1718.4,1728.4,1707.0,0.0003
2012年2月17日,1724.5,1733.6,1735.1,1718.8,-0.0013
2012年2月21日,1757.1,1736.1,1760.0,1733.6,0.0189
2012年2月22日,1770.0,1758.7,1781.9,1750.0,0.0073
2012年2月23日,1784.9,1774.0,1786.0,1773.0,0.0084
2012年2月24日,1775.1,1778.5,1780.7,1771.3,-0.0055000000000000005
2012年2月27日,1773.6,1773.6,1775.6,1768.1,-0.0008
2012年2月28日,1787.0,1767.9,1789.4,1767.9,0.0076
2012年2月29日,1709.9,1789.9,1790.4,1669.0,-0.0431
2012年3月12日,1699.2,1708.1,1708.1,1694.9,-0.0068000000000000005
2012年3月13日,1693.7,1698.4,1701.7,1685.1,-0.0032
2012年3月14日,1642.5,1676.9,1681.0,1637.4,-0.0302
2012年3月15日,1659.1,1646.3,1660.2,1640.0,0.0101
2012年3月16日,1655.5,1660.0,1663.4,1641.3,-0.0022
2012年3月19日,1666.9,1661.2,1668.0,1652.1,0.0069
2012年3月1日,1721.1,1698.6,1724.6,1698.6,0.0066
2012年3月20日,1646.7,1648.1,1652.3,1642.0,-0.0121
2012年3月21日,1650.0,1657.8,1660.0,1646.1,0.002
